INSTNM,CITY,STABBR,INSTURL,ADM_RATE,ADM_RATE_ALL,SAT_AVG,ACTCMMID,Agriculture,CIP03BACHL,Architecture,CIP05BACHL,Communications/Journalism,CIP10BACHL,Computer and Information Sciences,Culinary Services,Education,Engineering,CIP15BACHL,CIP16BACHL,CIP19BACHL,Legal Professions and Studies,English Language and Literature,Liberal Arts and Sciences,CIP25BACHL,Biological and Biomedical Sciences,Mathematics and Statistics,CIP29BACHL,CIP30BACHL,CIP31BACHL,Philosophy and Religious Studies,CIP39BACHL,CIP40BACHL,CIP41BACHL,Psychology,CIP43BACHL,CIP44BACHL,Social Sciences,CIP46BACHL,CIP47BACHL,CIP48BACHL,CIP49BACHL,Visual and Performing Arts,CIP51BACHL,Business,History,COSTT4_A
Keystone College,La Plume,PA,www.keystone.edu,0.9205,0.920489297,921,20,0,1,0,0,1,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,1,1,0,1,0,0,0,0,1,1,2,0,32907
King's College,Wilkes-Barre,PA,www.kings.edu,0.6727,0.672698413,NULL,NULL,0,1,0,1,1,0,1,0,1,0,0,1,0,0,1,1,0,1,1,0,1,0,1,1,1,0,1,1,0,1,0,0,0,0,1,1,1,1,42856
Kittanning Beauty Academy,Kittanning,PA,beautyacademies.net,NULL,NULL,NULL,NULL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NULL
Kutztown University of Pennsylvania,Kutztown,PA,www2.kutztown.edu/,0.7967,0.796707408,960,20,0,1,0,1,1,0,1,0,1,0,0,1,0,0,1,1,1,1,1,0,0,1,0,0,1,0,1,1,1,1,0,0,0,0,1,0,1,1,23383
La Roche College,Pittsburgh,PA,www.laroche.edu,0.9394,0.939393939,926,20,0,0,1,0,1,0,1,0,1,0,0,0,1,0,1,1,0,1,1,0,1,0,1,0,1,0,1,1,1,1,0,0,0,0,1,2,1,1,37094
La Salle University,Philadelphia,PA,www.lasalle.edu,0.7823,0.782277605,994,21,0,1,0,1,1,0,1,0,1,0,0,1,0,0,1,1,0,1,1,0,1,0,1,0,1,0,1,1,1,1,0,0,0,0,1,2,2,1,48965
Lackawanna College,Scranton,PA,www.lackawanna.edu,NULL,NULL,NULL,NULL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22447
Lafayette College,Easton,PA,https://www.lafayette.edu/,0.2975,0.297460236,1300,29,0,1,0,1,0,0,1,0,0,1,0,1,0,0,1,0,0,1,1,0,1,0,1,0,1,0,1,0,0,1,0,0,0,0,1,0,0,1,59750
Lancaster Bible College,Lancaster,PA,www.LBC.edu,0.5946,0.594637224,996,21,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,1,0,1,0,0,0,0,0,1,0,0,0,28517
Lancaster Theological Seminary,Lancaster,PA,www.lancasterseminary.edu,NULL,NULL,NULL,NULL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NULL
